timestamp,iso8601,app,plane,cluster,cpu_cores,memory_bytes
1756175532,"2025-08-26T02:32:12Z","l2sm","control","l2sm-control",0.023059993747104223,844455594.6666666
1756175532,"2025-08-26T02:32:12Z","l2sm","managed","l2sm-managed-1",0.055151335529070616,948600832
1756175532,"2025-08-26T02:32:12Z","l2sm","managed","l2sm-managed-2",0.053753025292378444,898016460.8
1756175532,"2025-08-26T02:32:12Z","submariner","control","sub-control",0.0024520727082515195,60366848
1756175532,"2025-08-26T02:32:12Z","submariner","managed","sub-managed-1",0.06024842792982371,379100160
1756175532,"2025-08-26T02:32:12Z","submariner","managed","sub-managed-2",0.04917781703822581,379768763.73333335
1756175964,"2025-08-26T02:39:24Z","l2sm","control","l2sm-control",0.023844955051537553,844339200
1756175964,"2025-08-26T02:39:24Z","submariner","control","sub-control",0.0027803604364343855,60375040
1756176396,"2025-08-26T02:46:36Z","l2sm","control","l2sm-control",0.024787543750425172,844416000
1756176396,"2025-08-26T02:46:36Z","l2sm","managed","l2sm-managed-1",0.05517881512232296,948842496
1756176396,"2025-08-26T02:46:36Z","l2sm","managed","l2sm-managed-2",0.05624018076078002,895997952
1756176396,"2025-08-26T02:46:36Z","submariner","control","sub-control",0.002324056022408419,60469248
1756176396,"2025-08-26T02:46:36Z","submariner","managed","sub-managed-1",0.05873206663455835,379880448
1756176396,"2025-08-26T02:46:36Z","submariner","managed","sub-managed-2",0.052363741467575296,380087296
1756176828,"2025-08-26T02:53:48Z","l2sm","control","l2sm-control",0.02270297332882343,842246144
1756176828,"2025-08-26T02:53:48Z","submariner","control","sub-control",0.002682987478819205,60334080
1756177260,"2025-08-26T03:01:00Z","l2sm","control","l2sm-control",0.022508433182800373,844216320
1756177260,"2025-08-26T03:01:00Z","l2sm","managed","l2sm-managed-1",0.05498293229008934,948757504
1756177260,"2025-08-26T03:01:00Z","l2sm","managed","l2sm-managed-2",0.05363319045027332,896122880
1756177260,"2025-08-26T03:01:00Z","submariner","control","sub-control",0.0025993709455477037,60407808
1756177260,"2025-08-26T03:01:00Z","submariner","managed","sub-managed-1",0.06006191165606642,379204608
1756177260,"2025-08-26T03:01:00Z","submariner","managed","sub-managed-2",0.04928483244200382,379237376
1756177692,"2025-08-26T03:08:12Z","l2sm","control","l2sm-control",0.023591920811913684,843823104
1756177692,"2025-08-26T03:08:12Z","submariner","control","sub-control",0.002481566217805638,60397568
1756178124,"2025-08-26T03:15:24Z","l2sm","control","l2sm-control",0.022412672757424895,844208128
1756178124,"2025-08-26T03:15:24Z","l2sm","managed","l2sm-managed-1",0.05603287983671056,949178368
1756178124,"2025-08-26T03:15:24Z","l2sm","managed","l2sm-managed-2",0.05392359647218878,897918976
1756178124,"2025-08-26T03:15:24Z","submariner","control","sub-control",0.003008222247115715,60486656
1756178124,"2025-08-26T03:15:24Z","submariner","managed","sub-managed-1",0.06028700540908188,379471462.4
1756178124,"2025-08-26T03:15:24Z","submariner","managed","sub-managed-2",0.049612855677165266,379495424
1756178556,"2025-08-26T03:22:36Z","l2sm","control","l2sm-control",0.024468560650218997,844300288
1756178556,"2025-08-26T03:22:36Z","submariner","control","sub-control",0.0023299932523627984,60350464
1756178988,"2025-08-26T03:29:48Z","l2sm","control","l2sm-control",0.02381614391770879,844413952
1756178988,"2025-08-26T03:29:48Z","l2sm","managed","l2sm-managed-1",0.05483156431233332,949470208
1756178988,"2025-08-26T03:29:48Z","l2sm","managed","l2sm-managed-2",0.05307040813561679,898173952
1756178988,"2025-08-26T03:29:48Z","submariner","control","sub-control",0.0026335181983512834,60398592
1756178988,"2025-08-26T03:29:48Z","submariner","managed","sub-managed-1",0.06095061008585966,380342272
1756178988,"2025-08-26T03:29:48Z","submariner","managed","sub-managed-2",0.04733525605541993,380109824
