pod,second,t_remaining,count
toolbox-0-sub-managed-1,0,149,2
toolbox-0-sub-managed-1,1,148,0
toolbox-0-sub-managed-1,2,147,0
toolbox-0-sub-managed-1,3,146,4
toolbox-0-sub-managed-1,4,145,10
toolbox-0-sub-managed-1,5,144,10
toolbox-0-sub-managed-1,6,143,10
toolbox-0-sub-managed-1,7,142,10
toolbox-0-sub-managed-1,8,141,10
toolbox-0-sub-managed-1,9,140,10
toolbox-0-sub-managed-1,10,139,10
toolbox-0-sub-managed-1,11,138,10
toolbox-0-sub-managed-1,12,137,10
toolbox-0-sub-managed-1,13,136,6
toolbox-0-sub-managed-1,14,135,0
toolbox-0-sub-managed-1,15,134,2
toolbox-0-sub-managed-1,16,133,0
toolbox-0-sub-managed-1,17,132,0
toolbox-0-sub-managed-1,18,131,0
toolbox-0-sub-managed-1,19,130,0
toolbox-0-sub-managed-1,20,129,0
toolbox-0-sub-managed-1,21,128,0
toolbox-0-sub-managed-1,22,127,0
toolbox-0-sub-managed-1,23,126,0
toolbox-0-sub-managed-1,24,125,0
toolbox-0-sub-managed-1,25,124,0
toolbox-0-sub-managed-1,26,123,0
toolbox-0-sub-managed-1,27,122,0
toolbox-0-sub-managed-1,28,121,10
toolbox-0-sub-managed-1,29,120,40
toolbox-0-sub-managed-1,30,119,40
toolbox-0-sub-managed-1,31,118,40
toolbox-0-sub-managed-1,32,117,40
toolbox-0-sub-managed-1,33,116,40
toolbox-0-sub-managed-1,34,115,40
toolbox-0-sub-managed-1,35,114,39
toolbox-0-sub-managed-1,36,113,229
toolbox-0-sub-managed-1,37,112,0
toolbox-0-sub-managed-1,38,111,0
toolbox-0-sub-managed-1,39,110,0
toolbox-0-sub-managed-1,40,109,2
toolbox-0-sub-managed-1,41,108,2
toolbox-0-sub-managed-1,42,107,3
toolbox-0-sub-managed-1,43,106,0
toolbox-0-sub-managed-1,44,105,2
toolbox-0-sub-managed-1,45,104,0
toolbox-0-sub-managed-1,46,103,2
toolbox-0-sub-managed-1,47,102,0
toolbox-0-sub-managed-1,48,101,0
toolbox-0-sub-managed-1,49,100,0
toolbox-0-sub-managed-1,50,99,44
toolbox-0-sub-managed-1,51,98,40
toolbox-0-sub-managed-1,52,97,40
toolbox-0-sub-managed-1,53,96,40
toolbox-0-sub-managed-1,54,95,40
toolbox-0-sub-managed-1,55,94,40
toolbox-0-sub-managed-1,56,93,42
toolbox-0-sub-managed-1,57,92,40
toolbox-0-sub-managed-1,58,91,40
toolbox-0-sub-managed-1,59,90,40
toolbox-0-sub-managed-1,60,89,40
toolbox-0-sub-managed-1,61,88,40
toolbox-0-sub-managed-1,62,87,32
toolbox-0-sub-managed-1,63,86,0
toolbox-0-sub-managed-1,64,85,0
toolbox-0-sub-managed-1,65,84,0
toolbox-0-sub-managed-1,66,83,0
toolbox-0-sub-managed-1,67,82,0
toolbox-0-sub-managed-1,68,81,0
toolbox-0-sub-managed-1,69,80,0
toolbox-0-sub-managed-1,70,79,0
toolbox-0-sub-managed-1,71,78,0
toolbox-0-sub-managed-1,72,77,0
toolbox-0-sub-managed-1,73,76,0
toolbox-0-sub-managed-1,74,75,0
toolbox-0-sub-managed-1,75,74,0
toolbox-0-sub-managed-1,76,73,0
toolbox-0-sub-managed-1,77,72,0
toolbox-0-sub-managed-1,78,71,0
toolbox-0-sub-managed-1,79,70,0
toolbox-0-sub-managed-1,80,69,0
toolbox-0-sub-managed-1,81,68,0
toolbox-0-sub-managed-1,82,67,0
toolbox-0-sub-managed-1,83,66,0
toolbox-0-sub-managed-1,84,65,0
toolbox-0-sub-managed-1,85,64,0
toolbox-0-sub-managed-1,86,63,0
toolbox-0-sub-managed-1,87,62,0
toolbox-0-sub-managed-1,88,61,0
toolbox-0-sub-managed-1,89,60,0
toolbox-0-sub-managed-1,90,59,0
toolbox-0-sub-managed-1,91,58,0
toolbox-0-sub-managed-1,92,57,0
toolbox-0-sub-managed-1,93,56,0
toolbox-0-sub-managed-1,94,55,0
toolbox-0-sub-managed-1,95,54,0
toolbox-0-sub-managed-1,96,53,0
toolbox-0-sub-managed-1,97,52,0
toolbox-0-sub-managed-1,98,51,0
toolbox-0-sub-managed-1,99,50,0
toolbox-0-sub-managed-1,100,49,0
toolbox-0-sub-managed-1,101,48,0
toolbox-0-sub-managed-1,102,47,0
toolbox-0-sub-managed-1,103,46,0
toolbox-0-sub-managed-1,104,45,0
toolbox-0-sub-managed-1,105,44,0
toolbox-0-sub-managed-1,106,43,0
toolbox-0-sub-managed-1,107,42,0
toolbox-0-sub-managed-1,108,41,0
toolbox-0-sub-managed-1,109,40,0
toolbox-0-sub-managed-1,110,39,0
toolbox-0-sub-managed-1,111,38,0
toolbox-0-sub-managed-1,112,37,0
toolbox-0-sub-managed-1,113,36,0
toolbox-0-sub-managed-1,114,35,0
toolbox-0-sub-managed-1,115,34,0
toolbox-0-sub-managed-1,116,33,0
toolbox-0-sub-managed-1,117,32,0
toolbox-0-sub-managed-1,118,31,0
toolbox-0-sub-managed-1,119,30,0
toolbox-0-sub-managed-1,120,29,0
toolbox-0-sub-managed-1,121,28,0
toolbox-0-sub-managed-1,122,27,0
toolbox-0-sub-managed-1,123,26,0
toolbox-0-sub-managed-1,124,25,0
toolbox-0-sub-managed-1,125,24,0
toolbox-0-sub-managed-1,126,23,0
toolbox-0-sub-managed-1,127,22,0
toolbox-0-sub-managed-1,128,21,0
toolbox-0-sub-managed-1,129,20,0
toolbox-0-sub-managed-1,130,19,0
toolbox-0-sub-managed-1,131,18,0
toolbox-0-sub-managed-1,132,17,0
toolbox-0-sub-managed-1,133,16,0
toolbox-0-sub-managed-1,134,15,0
toolbox-0-sub-managed-1,135,14,0
toolbox-0-sub-managed-1,136,13,0
toolbox-0-sub-managed-1,137,12,0
toolbox-0-sub-managed-1,138,11,0
toolbox-0-sub-managed-1,139,10,0
toolbox-0-sub-managed-1,140,9,0
toolbox-0-sub-managed-1,141,8,0
toolbox-0-sub-managed-1,142,7,0
toolbox-0-sub-managed-1,143,6,0
toolbox-0-sub-managed-1,144,5,0
toolbox-0-sub-managed-1,145,4,0
