PING 242.0.255.252 (242.0.255.252) 56(84) bytes of data.
64 bytes from 242.0.255.252: icmp_seq=1 ttl=60 time=2.98 ms
64 bytes from 242.0.255.252: icmp_seq=2 ttl=60 time=2.89 ms
64 bytes from 242.0.255.252: icmp_seq=3 ttl=60 time=3.26 ms
64 bytes from 242.0.255.252: icmp_seq=4 ttl=60 time=2.95 ms
64 bytes from 242.0.255.252: icmp_seq=5 ttl=60 time=3.00 ms
64 bytes from 242.0.255.252: icmp_seq=6 ttl=60 time=2.99 ms
64 bytes from 242.0.255.252: icmp_seq=7 ttl=60 time=2.91 ms
64 bytes from 242.0.255.252: icmp_seq=8 ttl=60 time=2.83 ms
64 bytes from 242.0.255.252: icmp_seq=9 ttl=60 time=2.69 ms
64 bytes from 242.0.255.252: icmp_seq=10 ttl=60 time=2.55 ms
64 bytes from 242.0.255.252: icmp_seq=11 ttl=60 time=3.41 ms
64 bytes from 242.0.255.252: icmp_seq=12 ttl=60 time=2.51 ms
64 bytes from 242.0.255.252: icmp_seq=13 ttl=60 time=2.30 ms
64 bytes from 242.0.255.252: icmp_seq=14 ttl=60 time=2.09 ms
64 bytes from 242.0.255.252: icmp_seq=15 ttl=60 time=3.08 ms
64 bytes from 242.0.255.252: icmp_seq=16 ttl=60 time=2.60 ms
64 bytes from 242.0.255.252: icmp_seq=17 ttl=60 time=2.55 ms
64 bytes from 242.0.255.252: icmp_seq=18 ttl=60 time=2.64 ms
64 bytes from 242.0.255.252: icmp_seq=19 ttl=60 time=2.54 ms
64 bytes from 242.0.255.252: icmp_seq=20 ttl=60 time=2.89 ms
64 bytes from 242.0.255.252: icmp_seq=21 ttl=60 time=3.17 ms
64 bytes from 242.0.255.252: icmp_seq=22 ttl=60 time=2.93 ms
64 bytes from 242.0.255.252: icmp_seq=23 ttl=60 time=2.87 ms
64 bytes from 242.0.255.252: icmp_seq=24 ttl=60 time=2.70 ms
64 bytes from 242.0.255.252: icmp_seq=25 ttl=60 time=3.16 ms
64 bytes from 242.0.255.252: icmp_seq=26 ttl=60 time=2.39 ms
64 bytes from 242.0.255.252: icmp_seq=27 ttl=60 time=2.59 ms
64 bytes from 242.0.255.252: icmp_seq=28 ttl=60 time=2.81 ms
64 bytes from 242.0.255.252: icmp_seq=29 ttl=60 time=2.92 ms
64 bytes from 242.0.255.252: icmp_seq=30 ttl=60 time=3.19 ms
64 bytes from 242.0.255.252: icmp_seq=31 ttl=60 time=2.72 ms
64 bytes from 242.0.255.252: icmp_seq=32 ttl=60 time=3.08 ms
64 bytes from 242.0.255.252: icmp_seq=33 ttl=60 time=2.26 ms
64 bytes from 242.0.255.252: icmp_seq=34 ttl=60 time=2.35 ms
64 bytes from 242.0.255.252: icmp_seq=35 ttl=60 time=3.28 ms
64 bytes from 242.0.255.252: icmp_seq=36 ttl=60 time=3.13 ms
64 bytes from 242.0.255.252: icmp_seq=37 ttl=60 time=2.47 ms
64 bytes from 242.0.255.252: icmp_seq=38 ttl=60 time=2.81 ms
64 bytes from 242.0.255.252: icmp_seq=39 ttl=60 time=2.86 ms
64 bytes from 242.0.255.252: icmp_seq=40 ttl=60 time=3.12 ms
64 bytes from 242.0.255.252: icmp_seq=41 ttl=60 time=2.68 ms
64 bytes from 242.0.255.252: icmp_seq=42 ttl=60 time=2.82 ms
64 bytes from 242.0.255.252: icmp_seq=43 ttl=60 time=2.74 ms
64 bytes from 242.0.255.252: icmp_seq=44 ttl=60 time=2.46 ms
64 bytes from 242.0.255.252: icmp_seq=45 ttl=60 time=2.74 ms
64 bytes from 242.0.255.252: icmp_seq=46 ttl=60 time=2.89 ms
64 bytes from 242.0.255.252: icmp_seq=47 ttl=60 time=2.83 ms
64 bytes from 242.0.255.252: icmp_seq=48 ttl=60 time=3.04 ms
64 bytes from 242.0.255.252: icmp_seq=49 ttl=60 time=4.02 ms
64 bytes from 242.0.255.252: icmp_seq=50 ttl=60 time=3.06 ms

--- 242.0.255.252 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9842ms
rtt min/avg/max/mdev = 2.085/2.835/4.023/0.330 ms
