PING 10.1.128.3 (10.1.128.3) 56(84) bytes of data.
64 bytes from 10.1.128.3: icmp_seq=1 ttl=64 time=5.98 ms
64 bytes from 10.1.128.3: icmp_seq=2 ttl=64 time=1.90 ms
64 bytes from 10.1.128.3: icmp_seq=3 ttl=64 time=2.29 ms
64 bytes from 10.1.128.3: icmp_seq=4 ttl=64 time=1.87 ms
64 bytes from 10.1.128.3: icmp_seq=5 ttl=64 time=1.88 ms
64 bytes from 10.1.128.3: icmp_seq=6 ttl=64 time=2.14 ms
64 bytes from 10.1.128.3: icmp_seq=7 ttl=64 time=2.60 ms
64 bytes from 10.1.128.3: icmp_seq=8 ttl=64 time=2.03 ms
64 bytes from 10.1.128.3: icmp_seq=9 ttl=64 time=2.01 ms
64 bytes from 10.1.128.3: icmp_seq=10 ttl=64 time=1.81 ms
64 bytes from 10.1.128.3: icmp_seq=11 ttl=64 time=2.13 ms
64 bytes from 10.1.128.3: icmp_seq=12 ttl=64 time=1.77 ms
64 bytes from 10.1.128.3: icmp_seq=13 ttl=64 time=1.87 ms
64 bytes from 10.1.128.3: icmp_seq=14 ttl=64 time=2.39 ms
64 bytes from 10.1.128.3: icmp_seq=15 ttl=64 time=2.10 ms
64 bytes from 10.1.128.3: icmp_seq=16 ttl=64 time=2.12 ms
64 bytes from 10.1.128.3: icmp_seq=17 ttl=64 time=2.22 ms
64 bytes from 10.1.128.3: icmp_seq=18 ttl=64 time=1.60 ms
64 bytes from 10.1.128.3: icmp_seq=19 ttl=64 time=2.01 ms
64 bytes from 10.1.128.3: icmp_seq=20 ttl=64 time=2.23 ms
64 bytes from 10.1.128.3: icmp_seq=21 ttl=64 time=1.83 ms
64 bytes from 10.1.128.3: icmp_seq=22 ttl=64 time=1.98 ms
64 bytes from 10.1.128.3: icmp_seq=23 ttl=64 time=2.25 ms
64 bytes from 10.1.128.3: icmp_seq=24 ttl=64 time=1.85 ms
64 bytes from 10.1.128.3: icmp_seq=25 ttl=64 time=2.22 ms
64 bytes from 10.1.128.3: icmp_seq=26 ttl=64 time=2.20 ms
64 bytes from 10.1.128.3: icmp_seq=27 ttl=64 time=2.10 ms
64 bytes from 10.1.128.3: icmp_seq=28 ttl=64 time=1.40 ms
64 bytes from 10.1.128.3: icmp_seq=29 ttl=64 time=1.97 ms
64 bytes from 10.1.128.3: icmp_seq=30 ttl=64 time=2.49 ms
64 bytes from 10.1.128.3: icmp_seq=31 ttl=64 time=2.38 ms
64 bytes from 10.1.128.3: icmp_seq=32 ttl=64 time=2.17 ms
64 bytes from 10.1.128.3: icmp_seq=33 ttl=64 time=2.05 ms
64 bytes from 10.1.128.3: icmp_seq=34 ttl=64 time=2.69 ms
64 bytes from 10.1.128.3: icmp_seq=35 ttl=64 time=2.22 ms
64 bytes from 10.1.128.3: icmp_seq=36 ttl=64 time=1.74 ms
64 bytes from 10.1.128.3: icmp_seq=37 ttl=64 time=2.07 ms
64 bytes from 10.1.128.3: icmp_seq=38 ttl=64 time=1.52 ms
64 bytes from 10.1.128.3: icmp_seq=39 ttl=64 time=1.97 ms
64 bytes from 10.1.128.3: icmp_seq=40 ttl=64 time=1.74 ms
64 bytes from 10.1.128.3: icmp_seq=41 ttl=64 time=1.97 ms
64 bytes from 10.1.128.3: icmp_seq=42 ttl=64 time=2.20 ms
64 bytes from 10.1.128.3: icmp_seq=43 ttl=64 time=1.46 ms
64 bytes from 10.1.128.3: icmp_seq=44 ttl=64 time=2.03 ms
64 bytes from 10.1.128.3: icmp_seq=45 ttl=64 time=2.60 ms
64 bytes from 10.1.128.3: icmp_seq=46 ttl=64 time=2.38 ms
64 bytes from 10.1.128.3: icmp_seq=47 ttl=64 time=2.09 ms
64 bytes from 10.1.128.3: icmp_seq=48 ttl=64 time=2.38 ms
64 bytes from 10.1.128.3: icmp_seq=49 ttl=64 time=1.90 ms
64 bytes from 10.1.128.3: icmp_seq=50 ttl=64 time=2.28 ms

--- 10.1.128.3 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9854ms
rtt min/avg/max/mdev = 1.404/2.141/5.978/0.614 ms
