run,apply_epoch_ns,first_icmp_epoch_ns_pong,approx_offset_ns,first_icmp_epoch_ns_laptop,probe_period_ms,estimate_ms,error_bound_ms,src_ping_ip,dst_pong_ip

1,1756826287640884824,1756826287728274944,71205843,1756826287657069101,5,13,2,192.168.1.2,192.168.1.3
2,1756826292016797280,1756826292093543936,71419958,1756826292022123978,5,2,2,192.168.1.2,192.168.1.3
3,1756826296564320135,1756826296648427008,73407937,1756826296575019071,5,8,2,192.168.1.2,192.168.1.3
4,1756826300939343568,1756826301016257024,71326623,1756826300944930401,5,3,2,192.168.1.2,192.168.1.3
5,1756826305427712978,1756826305499286016,72025767,1756826305427260249,5,-2,2,192.168.1.2,192.168.1.3
1,1756826658027136399,1756826658948697088,68557330,1756826658880139758,5,850,2,192.168.1.2,192.168.1.3
2,1756826668479208679,1756826668554565888,65027264,1756826668489538624,5,7,2,192.168.1.2,192.168.1.3
3,1756826678275113560,1756826678360182016,66958930,1756826678293223086,5,15,2,192.168.1.2,192.168.1.3
4,1756826687508421391,1756826687613473792,69422359,1756826687544051433,5,33,2,192.168.1.2,192.168.1.3
5,1756826696636304320,1756826696712408064,64011633,1756826696648396431,5,9,2,192.168.1.2,192.168.1.3
6,1756826705560095972,1756826705624096000,68550568,1756826705555545432,5,-7,2,192.168.1.2,192.168.1.3
7,1756826715262136782,1756826715338525184,68966495,1756826715269558689,5,4,2,192.168.1.2,192.168.1.3
8,1756826724879044528,1756826724987670784,67440560,1756826724920230224,5,38,2,192.168.1.2,192.168.1.3
9,1756826734255059761,1756826734335761920,66325059,1756826734269436861,5,11,2,192.168.1.2,192.168.1.3
10,1756826743702516506,1756826743780917760,70157888,1756826743710759872,5,5,2,192.168.1.2,192.168.1.3
11,1756826753252295218,1756826753325339136,64593246,1756826753260745890,5,5,2,192.168.1.2,192.168.1.3
12,1756826762816556721,1756826763384283904,67307878,1756826763316976026,5,497,2,192.168.1.2,192.168.1.3
13,1756826772499656098,1756826772562788096,65008881,1756826772497779215,5,-4,2,192.168.1.2,192.168.1.3
14,1756826782127773224,1756826782203983104,64671736,1756826782139311368,5,9,2,192.168.1.2,192.168.1.3
15,1756826791791927742,1756826791861624064,66276362,1756826791795347702,5,0,2,192.168.1.2,192.168.1.3
16,1756826801348040433,1756826802298310912,65854702,1756826802232456210,5,881,2,192.168.1.2,192.168.1.3
17,1756826811965573140,1756826812049617920,67438616,1756826811982179304,5,14,2,192.168.1.2,192.168.1.3
18,1756826821583995696,1756826821671362048,55052663,1756826821616309385,5,29,2,192.168.1.2,192.168.1.3
19,1756826831136950970,1756826831208587008,68976173,1756826831139610835,5,0,2,192.168.1.2,192.168.1.3
20,1756826840648242909,1756826841206691072,66764782,1756826841139926290,5,489,2,192.168.1.2,192.168.1.3
21,1756826850075804123,1756826850154500864,63921931,1756826850090578933,5,12,2,192.168.1.2,192.168.1.3
22,1756826859806821332,1756826859883778048,64573033,1756826859819205015,5,9,2,192.168.1.2,192.168.1.3
23,1756826869388748194,1756826869475014912,67375110,1756826869407639802,5,16,2,192.168.1.2,192.168.1.3
24,1756826878844111172,1756826879096620032,61865584,1756826879034754448,5,188,2,192.168.1.2,192.168.1.3
25,1756826888522284951,1756826888602539008,63403678,1756826888539135330,5,14,2,192.168.1.2,192.168.1.3
26,1756826898053791594,1756826898129470976,63598336,1756826898065872640,5,9,2,192.168.1.2,192.168.1.3
27,1756826907755113299,1756826907831778048,66427915,1756826907765350133,5,7,2,192.168.1.2,192.168.1.3
28,1756826917209689531,1756826918016680960,61943421,1756826917954737539,5,742,2,192.168.1.2,192.168.1.3
29,1756826926773122951,1756826926861747968,66315304,1756826926795432664,5,19,2,192.168.1.2,192.168.1.3
30,1756826936458627672,1756826936536092160,63812282,1756826936472279878,5,11,2,192.168.1.2,192.168.1.3
31,1756826946041479483,1756826946120515072,68943023,1756826946051572049,5,7,2,192.168.1.2,192.168.1.3
32,1756826955792874873,1756826955895571968,60623091,1756826955834948877,5,39,2,192.168.1.2,192.168.1.3
33,1756826965423922374,1756826965490515968,64941536,1756826965425574432,5,0,2,192.168.1.2,192.168.1.3
34,1756826974953148357,1756826975026971136,67866745,1756826974959104391,5,3,2,192.168.1.2,192.168.1.3
35,1756826984526592211,1756826984612169984,61321106,1756826984550848878,5,21,2,192.168.1.2,192.168.1.3
36,1756826994274303414,1756826994811024896,66144393,1756826994744880503,5,468,2,192.168.1.2,192.168.1.3
37,1756827003568283797,1756827003629522176,66564476,1756827003562957700,5,-7,2,192.168.1.2,192.168.1.3
38,1756827013446869061,1756827013524208896,66125429,1756827013458083467,5,8,2,192.168.1.2,192.168.1.3
