StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:40.498415	1765855840.498415;00:00:00;00:00:00;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:40.498776	1765855840.498776;2025-12-16	03:30:41.501459	1765855841.501459;00:00:01;00:00:01;1000;964.072;960.239;0;0;966;966;966;5;961;961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;966;0;0;0;0;0;0;0;0;;933;28;0;0;0;0;0;0;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:41.501532	1765855841.501532;2025-12-16	03:30:42.503255	1765855842.503255;00:00:01;00:00:02;1000;982.018;970.618;0;0;983;1949;1949;6;982;1943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;1948;0;0;0;0;0;0;0;0;;1915;28;0;0;0;0;0;0;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:42.503338	1765855842.503338;2025-12-16	03:30:43.504337	1765855843.504337;00:00:01;00:00:03;1000;980;973.413;0;0;980;2929;2929;4;982;2925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;2929;0;0;0;0;0;0;0;0;;2897;28;0;0;0;0;0;0;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:43.504407	1765855843.504407;2025-12-16	03:30:44.505346	1765855844.505346;00:00:01;00:00:04;1000;985;976.06;0;0;985;3914;3914;6;983;3908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;3911;0;0;0;0;0;0;0;0;;3869;39;0;0;0;0;0;0;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:44.505457	1765855844.505457;2025-12-16	03:30:45.507746	1765855845.507746;00:00:01;00:00:05;1000;963.074;973.464;0;0;965;4879;4879;3;968;4876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;4879;0;0;0;0;0;0;0;0;;4837;39;0;0;0;0;0;0;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:45.507848	1765855845.507848;2025-12-16	03:30:46.510277	1765855846.510277;00:00:01;00:00:06;1000;981.038;974.564;0;0;983;5862;5862;2;984;5860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;5862;0;0;0;0;0;0;0;0;;5821;39;0;0;0;0;0;0;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:46.510362	1765855846.510362;2025-12-16	03:30:47.511250	1765855847.511250;00:00:01;00:00:07;1000;977;974.772;0;0;977;6839;6839;2;977;6837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:003000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;6839;0;0;0;0;0;0;0;0;;6798;39;0;0;0;0;0;0;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:47.511338	1765855847.511338;2025-12-16	03:30:48.512550	1765855848.512550;00:00:01;00:00:08;1000;979.021;975.302;0;0;980;7819;7819;5;977;7814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;7816;0;0;0;0;0;0;0;0;;7775;39;0;0;0;0;0;0;
2025-12-16	03:30:40.495186	1765855840.495186;2025-12-16	03:30:48.512633	1765855848.512633;2025-12-16	03:30:49.515248	1765855849.515248;00:00:01;00:00:09;1000;976.048;975.277;0;0;978;8797;8797;3;980;8794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;8797;0;0;0;0;0;0;0;0;;8755;39;0;0;0;0;0;0;
